id,bookDate,name,phoneNo,age,gender,checkIn,checkOut,specialNeeds,race,price,accompanies,family,localResident,ADDRESS
37,2020-04-09,Last First Name M.,2959980846,37,NA,2020-04-04,2020-04-05,0,na,103.85311678430953,1,0,0,Not available
38,2020-04-08,Last First Name M.,2173485334,25,Others,2020-04-02,2020-04-10,0,na,101.98182643643565,3,0,0,Not available
39,2020-04-02,Last First Name M.,8020945798,43,Female,2020-04-09,2020-04-09,0,na,101.07359469718494,4,0,1,Not available
40,2020-04-01,Last First Name M.,8595691930,35,NA,2020-04-03,2020-04-02,0,na,97.66365958404825,2,0,0,Not available
41,2020-04-05,Last First Name M.,9363272563,24,NA,2020-04-10,2020-04-08,0,na,101.57683117483359,3,0,0,Not available
42,2020-04-05,Last First Name M.,9854518872,38,Female,2020-04-01,2020-04-03,0,na,97.9473930572898,1,0,0,Not available
43,2020-04-02,Last First Name M.,2145083652,15,Male,2020-04-03,2020-04-05,0,na,98.65278161755988,3,1,1,Not available
44,2020-04-05,Last First Name M.,3546999676,53,Others,2020-04-04,2020-04-06,0,na,100.72297725673403,3,0,0,Not available
45,2020-04-02,Last First Name M.,3110498322,38,Male,2020-04-07,2020-04-02,0,na,97.08129722031235,1,0,1,Not available
46,2020-04-05,Last First Name M.,8326890001,77,NA,2020-04-10,2020-04-10,0,na,97.52133577376804,4,0,1,Not available
47,2020-04-09,Last First Name M.,1955949449,30,Male,2020-04-06,2020-04-09,0,na,100.12261716618602,3,1,0,Not available
48,2020-04-04,Last First Name M.,7808349139,54,NA,2020-04-01,2020-04-01,0,na,99.69822019227374,4,1,1,Not available
49,2020-04-10,Last First Name M.,9619310618,18,Female,2020-04-02,2020-04-10,0,na,97.30146795661794,4,0,0,Not available
50,2020-04-02,Last First Name M.,6603720286,48,Others,2020-04-10,2020-04-10,0,na,97.0121278245612,4,0,0,Not available
51,2020-04-05,Last First Name M.,9026318308,74,NA,2020-04-09,2020-04-07,0,na,97.55675402308663,3,1,1,Not available
52,2020-04-03,Last First Name M.,9593858244,46,Male,2020-04-08,2020-04-03,0,na,100.27433928108519,1,1,0,Not available
53,2020-04-06,Last First Name M.,7161924660,55,NA,2020-04-04,2020-04-09,0,na,101.4637980221705,1,0,1,Not available
54,2020-04-05,Last First Name M.,2074332948,37,Female,2020-04-05,2020-04-05,0,na,100.47051750516708,3,1,0,Not available
55,2020-04-06,Last First Name M.,4273835016,56,Female,2020-04-03,2020-04-04,0,na,103.94265579600092,4,1,0,Not available
56,2020-04-03,Last First Name M.,2424884275,27,NA,2020-04-04,2020-04-04,0,na,102.50546059515413,1,0,1,Not available
57,2020-04-04,Last First Name M.,6867039819,44,Others,2020-04-10,2020-04-02,0,na,98.48765222614246,4,0,1,Not available
58,2020-04-10,Last First Name M.,6483538987,48,NA,2020-04-08,2020-04-06,0,na,98.15049952398233,3,0,0,Not available
59,2020-04-06,Last First Name M.,3830650206,31,Others,2020-04-06,2020-04-09,0,na,103.17698782030146,2,1,0,Not available
60,2020-04-06,Last First Name M.,8688771355,42,Male,2020-04-02,2020-04-06,0,na,99.21844237921773,4,0,1,Not available
61,2020-04-09,Last First Name M.,5710010129,58,Others,2020-04-07,2020-04-08,0,na,96.13923580434856,2,0,0,Not available
62,2020-04-10,Last First Name M.,7035827014,64,Male,2020-04-04,2020-04-07,0,na,97.29193946818909,1,1,1,Not available
63,2020-04-10,Last First Name M.,5439273489,9,NA,2020-04-03,2020-04-05,0,na,104.5662129970083,2,1,0,Not available
64,2020-04-06,Last First Name M.,2337134577,58,Male,2020-04-02,2020-04-03,0,na,97.90255660642525,4,1,0,Not available
65,2020-04-06,Last First Name M.,3389657774,63,Others,2020-04-08,2020-04-01,0,na,99.93491129320773,2,0,0,Not available
66,2020-04-05,Last First Name M.,4058013632,69,NA,2020-04-01,2020-04-05,0,na,99.80390275406427,2,0,0,Not available
67,2020-04-02,Last First Name M.,9379695684,64,Male,2020-04-08,2020-04-08,0,na,97.64064816448816,2,0,0,Not available
68,2020-04-04,Last First Name M.,5723702528,61,Female,2020-04-09,2020-04-09,0,na,103.59359513026705,2,0,0,Not available
69,2020-04-05,Last First Name M.,3261731662,11,Female,2020-04-03,2020-04-06,0,na,100.68850198321127,4,1,0,Not available
70,2020-04-07,Last First Name M.,2140524910,77,Male,2020-04-05,2020-04-07,0,na,101.02731539884438,2,1,0,Not available
71,2020-04-02,Last First Name M.,8587473970,66,Female,2020-04-03,2020-04-09,0,na,98.01901258320817,4,0,1,Not available
72,2020-04-09,Last First Name M.,9706171056,75,Others,2020-04-01,2020-04-02,0,na,97.31674964247334,4,0,0,Not available
73,2020-04-07,Last First Name M.,8615599697,23,Others,2020-04-10,2020-04-06,0,na,100.74154553460085,3,0,0,Not available
74,2020-04-09,Last First Name M.,4384846791,65,Female,2020-04-04,2020-04-05,0,na,100.73277133993089,2,0,0,Not available
75,2020-04-10,Last First Name M.,6061393449,77,Female,2020-04-05,2020-04-03,0,na,101.07323036287903,4,1,0,Not available
76,2020-04-07,Last First Name M.,3824365291,26,Male,2020-04-02,2020-04-01,0,na,101.55111118158503,1,0,1,Not available
77,2020-04-04,Last First Name M.,5040083347,19,Others,2020-04-08,2020-04-08,0,na,101.53200040225158,1,1,0,Not available
78,2020-04-02,Last First Name M.,4277436270,15,Male,2020-04-08,2020-04-10,0,na,100.49334156291323,2,0,0,Not available
79,2020-04-10,Last First Name M.,1921726110,21,Male,2020-04-02,2020-04-09,0,na,101.43679238570603,3,1,1,Not available
80,2020-04-01,Last First Name M.,3548448380,56,NA,2020-04-10,2020-04-08,0,na,95.80115046380902,2,1,0,Not available
81,2020-04-10,Last First Name M.,6852896872,60,Others,2020-04-01,2020-04-01,0,na,102.70488219825152,2,1,1,Not available
82,2020-04-08,Last First Name M.,7109704743,68,Others,2020-04-09,2020-04-02,0,na,102.12111501968896,2,0,1,Not available
83,2020-04-02,Last First Name M.,7839957916,77,Others,2020-04-04,2020-04-06,0,na,100.08044585473282,2,1,0,Not available
84,2020-04-02,Last First Name M.,4028851757,72,Male,2020-04-03,2020-04-10,0,na,102.3308475810172,1,0,1,Not available
85,2020-04-01,Last First Name M.,6631341961,39,Female,2020-04-03,2020-04-04,0,na,100.76039512076409,4,1,0,Not available
86,2020-04-05,Last First Name M.,4024771246,28,Others,2020-04-08,2020-04-03,0,na,98.84233356977253,4,1,1,Not available
87,2020-04-07,Last First Name M.,7206898484,30,Male,2020-04-05,2020-04-04,0,na,99.7968827520716,1,0,1,Not available
88,2020-04-04,Last First Name M.,4446721911,53,Female,2020-04-05,2020-04-08,0,na,100.88495968135226,2,1,1,Not available
89,2020-04-10,Last First Name M.,2961935161,40,Male,2020-04-01,2020-04-02,0,na,100.97364602011963,2,0,1,Not available
90,2020-04-02,Last First Name M.,2622384281,77,Male,2020-04-07,2020-04-07,0,na,100.5371637245655,1,0,1,Not available
91,2020-04-04,Last First Name M.,3204328959,29,Female,2020-04-05,2020-04-06,0,na,98.32142895015068,4,0,1,Not available
92,2020-04-07,Last First Name M.,2924800566,39,Female,2020-04-04,2020-04-01,0,na,95.47378212276674,1,0,0,Not available
93,2020-04-03,Last First Name M.,1440277489,26,Others,2020-04-10,2020-04-10,0,na,101.57200269231262,2,0,0,Not available
94,2020-04-04,Last First Name M.,2036326757,68,NA,2020-04-01,2020-04-07,0,na,99.17260979536061,3,1,0,Not available
95,2020-04-07,Last First Name M.,9550622668,58,Female,2020-04-04,2020-04-02,0,na,99.70156111576827,2,0,0,Not available
96,2020-04-08,Last First Name M.,4686704121,76,Male,2020-04-08,2020-04-07,0,na,99.72342012259584,1,0,1,Not available
97,2020-04-02,Last First Name M.,2560609545,78,Male,2020-04-08,2020-04-06,0,na,99.67096225737704,1,0,0,Not available
98,2020-04-05,Last First Name M.,4004932864,21,Male,2020-04-07,2020-04-09,0,na,97.71483122402613,4,0,1,Not available
99,2020-04-09,Last First Name M.,6521489586,9,Others,2020-04-06,2020-04-01,0,na,99.27070703908929,1,0,0,Not available
100,2020-04-04,Last First Name M.,2193728405,52,Male,2020-04-02,2020-04-03,0,na,97.30994092282769,1,0,1,Not available
101,2020-04-08,Last First Name M.,5902726705,31,Others,2020-04-05,2020-04-01,0,na,99.18936419046906,1,1,1,Not available
102,2020-04-10,Last First Name M.,6015358128,18,Male,2020-04-05,2020-04-05,0,na,98.56927613761826,4,0,0,Not available
103,2020-04-04,Last First Name M.,4139683927,48,NA,2020-04-03,2020-04-05,0,na,96.54776895222638,4,0,1,Not available
104,2020-04-04,Last First Name M.,4715216651,25,NA,2020-04-07,2020-04-09,0,na,101.62062210942082,2,1,0,Not available
105,2020-04-03,Last First Name M.,3012508560,71,NA,2020-04-04,2020-04-01,0,na,100.93935419960175,2,1,1,Not available
106,2020-04-09,Last First Name M.,5210877266,75,NA,2020-04-09,2020-04-10,0,na,99.36646323634926,4,1,1,Not available
107,2020-04-01,Last First Name M.,9540801023,37,NA,2020-04-07,2020-04-09,0,na,99.74803002272216,2,0,1,Not available
108,2020-04-02,Last First Name M.,6979671390,42,Male,2020-04-01,2020-04-09,0,na,100.39466593869614,1,1,0,Not available
109,2020-04-10,Last First Name M.,6316963144,67,Others,2020-04-02,2020-04-01,0,na,97.49325105235152,3,0,1,Not available
110,2020-04-10,Last First Name M.,6216902608,30,Others,2020-04-06,2020-04-06,0,na,97.36345793008911,3,0,0,Not available
111,2020-04-01,Last First Name M.,1315134858,56,Male,2020-04-06,2020-04-10,0,na,101.49465311538334,1,1,0,Not available
112,2020-04-01,Last First Name M.,8874020981,60,Others,2020-04-08,2020-04-09,0,na,99.46027999378147,3,1,1,Not available
113,2020-04-10,Last First Name M.,3047130051,20,Others,2020-04-07,2020-04-04,0,na,100.10036421199969,4,1,1,Not available
114,2020-04-04,Last First Name M.,4937833094,15,Others,2020-04-03,2020-04-07,0,na,100.0840711486678,2,1,0,Not available
115,2020-04-01,Last First Name M.,4131424930,14,Male,2020-04-08,2020-04-01,0,na,98.12426710466258,2,0,0,Not available
116,2020-04-03,Last First Name M.,7538707005,73,Male,2020-04-05,2020-04-08,0,na,100.25423748797212,1,0,1,Not available
117,2020-04-09,Last First Name M.,9526822315,63,Others,2020-04-05,2020-04-08,1,na,97.93586123205004,1,0,0,Not available
118,2020-04-04,Last First Name M.,4825877795,25,Male,2020-04-07,2020-04-02,0,na,99.44785156470768,3,1,1,Not available
119,2020-04-10,Last First Name M.,4530636472,58,Others,2020-04-06,2020-04-04,0,na,99.27294522045808,3,1,1,Not available
120,2020-04-06,Last First Name M.,9033202273,47,Others,2020-04-04,2020-04-10,0,na,98.62878855643585,1,1,0,Not available
121,2020-04-08,Last First Name M.,3556982329,59,Others,2020-04-03,2020-04-07,0,na,97.38169314603378,1,1,0,Not available
122,2020-04-02,Last First Name M.,2270801136,19,Male,2020-04-10,2020-04-02,0,na,100.95462856332236,4,1,0,Not available
123,2020-04-06,Last First Name M.,4312026618,44,Male,2020-04-04,2020-04-10,0,na,98.47655255948729,2,1,1,Not available
124,2020-04-07,Last First Name M.,4342290856,34,Female,2020-04-01,2020-04-04,0,na,98.96060153193832,3,1,1,Not available
125,2020-04-07,Last First Name M.,6391890227,21,NA,2020-04-02,2020-04-05,0,na,99.09622944316682,1,1,0,Not available
126,2020-04-05,Last First Name M.,6266109288,19,NA,2020-04-07,2020-04-07,0,na,100.00625707042299,2,0,0,Not available
127,2020-04-01,Last First Name M.,5823798930,44,Others,2020-04-10,2020-04-02,0,na,98.24009780022304,1,0,0,Not available
128,2020-04-09,Last First Name M.,5439942871,14,NA,2020-04-08,2020-04-09,0,na,97.52953283581245,4,0,1,Not available
129,2020-04-03,Last First Name M.,1586389564,38,Female,2020-04-08,2020-04-09,0,na,97.74791525555861,1,0,1,Not available
130,2020-04-06,Last First Name M.,5671882412,30,Male,2020-04-08,2020-04-03,0,na,97.6443542696048,1,0,0,Not available
131,2020-04-01,Last First Name M.,3819220831,22,Others,2020-04-10,2020-04-05,0,na,99.37728487356745,2,1,0,Not available
132,2020-04-05,Last First Name M.,2144492739,65,Male,2020-04-02,2020-04-02,0,na,101.05733023890376,1,0,1,Not available
133,2020-04-02,Last First Name M.,3534589414,76,NA,2020-04-09,2020-04-04,0,na,101.81042312543917,2,0,1,Not available
134,2020-04-04,Last First Name M.,9142811248,57,Male,2020-04-10,2020-04-02,0,na,100.03121433088012,4,1,0,Not available
135,2020-04-02,Last First Name M.,8759837561,40,NA,2020-04-05,2020-04-03,0,na,99.02299724316794,1,1,1,Not available
136,2020-04-04,Last First Name M.,9496875856,38,Female,2020-04-01,2020-04-10,0,na,99.4292956168397,4,0,1,Not available
137,2020-04-10,Last First Name M.,7772557996,21,Male,2020-04-06,2020-04-05,0,na,101.45313775478913,4,1,0,Not available
138,2020-04-02,Last First Name M.,6649950749,56,NA,2020-04-10,2020-04-08,0,na,98.29687297949192,3,0,1,Not available
139,2020-04-01,Last First Name M.,9855395013,16,NA,2020-04-02,2020-04-04,0,na,95.11455477699674,1,0,1,Not available
140,2020-04-01,Last First Name M.,6719288074,46,Male,2020-04-06,2020-04-10,1,na,101.8576939021316,3,0,0,Not available
141,2020-04-07,Last First Name M.,8196536148,52,Male,2020-04-03,2020-04-09,0,na,101.90422750935706,3,1,1,Not available
142,2020-04-07,Last First Name M.,5047410640,46,Female,2020-04-10,2020-04-09,0,na,101.65415381278676,3,0,1,Not available
143,2020-04-07,Last First Name M.,4462526695,75,NA,2020-04-08,2020-04-06,0,na,99.69487138538561,3,1,1,Not available
144,2020-04-10,Last First Name M.,5828320172,51,Female,2020-04-05,2020-04-08,0,na,100.06525666274483,1,0,0,Not available
145,2020-04-02,Last First Name M.,2512109448,28,Male,2020-04-02,2020-04-10,0,na,102.63809760067902,1,0,1,Not available
146,2020-04-05,Last First Name M.,2745246429,50,Others,2020-04-01,2020-04-07,0,na,102.693234169569,3,1,1,Not available
147,2020-04-04,Last First Name M.,7966534236,17,NA,2020-04-02,2020-04-03,0,na,98.86590205140921,4,0,0,Not available
148,2020-04-08,Last First Name M.,6255891030,56,NA,2020-04-08,2020-04-09,1,na,100.23146659635874,4,0,1,Not available
149,2020-04-04,Last First Name M.,7007391930,20,Female,2020-04-01,2020-04-05,0,na,99.97276596469246,3,0,0,Not available
150,2020-04-08,Last First Name M.,1683509917,34,Others,2020-04-07,2020-04-04,0,na,101.20587426686959,4,1,1,Not available
151,2020-04-09,Last First Name M.,7808044617,64,Female,2020-04-10,2020-04-03,1,na,101.21537185644704,3,0,1,Not available
152,2020-04-01,Last First Name M.,9525093800,10,Male,2020-04-07,2020-04-02,0,na,98.68930450911894,4,0,1,Not available
153,2020-04-03,Last First Name M.,1266845291,59,Others,2020-04-07,2020-04-02,0,na,100.35015135463583,3,1,0,Not available
154,2020-04-09,Last First Name M.,4929584161,34,Male,2020-04-08,2020-04-06,0,na,97.21169478316213,4,0,0,Not available
155,2020-04-10,Last First Name M.,7947274087,17,Female,2020-04-05,2020-04-10,0,na,101.12167924464204,1,0,0,Not available
156,2020-04-07,Last First Name M.,2314974297,64,NA,2020-04-09,2020-04-10,0,na,101.23745932290353,1,0,0,Not available
157,2020-04-01,Last First Name M.,9974607286,35,Male,2020-04-09,2020-04-10,0,na,99.0528500491241,1,1,0,Not available
158,2020-04-08,Last First Name M.,7343205705,78,Others,2020-04-06,2020-04-09,0,na,101.04690782428013,1,1,1,Not available
159,2020-04-05,Last First Name M.,1174570236,72,Others,2020-04-06,2020-04-04,0,na,98.54485102328582,3,1,1,Not available
160,2020-04-10,Last First Name M.,8210368469,42,Male,2020-04-07,2020-04-01,0,na,98.04952606204041,4,1,0,Not available
161,2020-04-05,Last First Name M.,8752276177,24,Others,2020-04-04,2020-04-10,0,na,100.03371481855456,3,0,0,Not available
162,2020-04-02,Last First Name M.,2893131723,76,Male,2020-04-01,2020-04-03,0,na,99.54939965498477,1,1,1,Not available
163,2020-04-03,Last First Name M.,4623056346,43,NA,2020-04-07,2020-04-10,0,na,99.43333130406778,1,1,1,Not available
164,2020-04-05,Last First Name M.,5799795164,58,Male,2020-04-10,2020-04-08,0,na,101.9182921312537,1,0,0,Not available
165,2020-04-03,Last First Name M.,6292098352,46,NA,2020-04-07,2020-04-01,0,na,100.04554308404087,3,1,1,Not available
166,2020-04-05,Last First Name M.,6941289631,15,Female,2020-04-04,2020-04-09,0,na,99.22822638458683,2,1,0,Not available
167,2020-04-07,Last First Name M.,9145170684,22,Male,2020-04-07,2020-04-04,0,na,100.1210127297106,1,0,1,Not available
168,2020-04-02,Last First Name M.,2123943162,68,Male,2020-04-03,2020-04-04,0,na,101.0053086919332,2,1,0,Not available
169,2020-04-04,Last First Name M.,1756160204,29,NA,2020-04-04,2020-04-05,0,na,101.4934710286181,4,0,1,Not available
170,2020-04-04,Last First Name M.,7531588209,62,Others,2020-04-08,2020-04-09,0,na,100.71876282105454,1,1,1,Not available
171,2020-04-06,Last First Name M.,9005996821,13,Male,2020-04-08,2020-04-04,0,na,99.00909789428819,1,1,1,Not available
172,2020-04-08,Last First Name M.,1957861041,70,NA,2020-04-05,2020-04-04,0,na,98.8228768515265,4,1,0,Not available
173,2020-04-07,Last First Name M.,3916609046,30,Female,2020-04-04,2020-04-05,0,na,99.66602198201439,2,0,1,Not available
174,2020-04-03,Last First Name M.,3293384384,30,Others,2020-04-08,2020-04-03,1,na,99.82794101055465,3,1,1,Not available
175,2020-04-06,Last First Name M.,8393809026,59,Female,2020-04-02,2020-04-01,0,na,101.43563207707665,3,1,1,Not available
176,2020-04-04,Last First Name M.,8915991916,68,Male,2020-04-06,2020-04-04,0,na,100.01524383169365,2,1,0,Not available
177,2020-04-05,Last First Name M.,8113536360,28,Male,2020-04-02,2020-04-04,0,na,97.81683504212128,2,1,0,Not available
178,2020-04-05,Last First Name M.,4524459623,76,NA,2020-04-05,2020-04-08,0,na,102.2304739641907,4,0,1,Not available
179,2020-04-05,Last First Name M.,2074345868,62,Male,2020-04-04,2020-04-06,0,na,100.59244903929054,1,0,0,Not available
180,2020-04-10,Last First Name M.,7478063028,35,Female,2020-04-08,2020-04-06,1,na,96.97212948947653,2,1,0,Not available
181,2020-04-03,Last First Name M.,1877034272,33,Others,2020-04-04,2020-04-08,0,na,102.09703683493464,4,1,1,Not available
182,2020-04-03,Last First Name M.,7899896991,27,Male,2020-04-09,2020-04-09,1,na,99.02709147390878,1,0,1,Not available
183,2020-04-04,Last First Name M.,2378534065,15,Others,2020-04-04,2020-04-02,0,na,99.74604757644798,3,1,0,Not available
184,2020-04-07,Last First Name M.,7258069753,20,Others,2020-04-09,2020-04-04,0,na,100.14893209791157,3,0,1,Not available
185,2020-04-02,Last First Name M.,5300305905,41,Male,2020-04-09,2020-04-02,0,na,100.52397878468739,1,1,0,Not available
186,2020-04-09,Last First Name M.,8368930890,34,Female,2020-04-04,2020-04-04,0,na,102.80135230192148,1,0,0,Not available
187,2020-04-02,Last First Name M.,5032007173,48,Others,2020-04-03,2020-04-06,0,na,103.01644333122805,3,0,1,Not available
188,2020-04-06,Last First Name M.,8067444909,10,NA,2020-04-06,2020-04-10,0,na,99.38802378802227,3,1,1,Not available
189,2020-04-09,Last First Name M.,4585551389,18,Others,2020-04-08,2020-04-02,0,na,97.28664542805467,3,1,0,Not available
190,2020-04-01,Last First Name M.,1981914723,68,Others,2020-04-01,2020-04-03,0,na,101.25012671899833,4,1,1,Not available
191,2020-04-08,Last First Name M.,7623754428,25,Male,2020-04-09,2020-04-08,0,na,104.12895240446032,4,0,0,Not available
192,2020-04-08,Last First Name M.,5632844069,26,NA,2020-04-03,2020-04-06,1,na,98.95339137057836,2,0,0,Not available
193,2020-04-09,Last First Name M.,4935149729,59,Female,2020-04-06,2020-04-04,0,na,99.17143015079533,2,1,0,Not available
194,2020-04-10,Last First Name M.,2383512114,56,Female,2020-04-03,2020-04-03,0,na,97.99933080195639,1,0,0,Not available
195,2020-04-05,Last First Name M.,5449934155,75,Others,2020-04-02,2020-04-02,0,na,99.05472867451748,2,1,0,Not available
196,2020-04-03,Last First Name M.,4410114920,68,NA,2020-04-08,2020-04-10,0,na,101.63144363545898,1,0,1,Not available
197,2020-04-02,Last First Name M.,9701069454,46,Male,2020-04-10,2020-04-06,0,na,100.54266805023725,1,0,1,Not available
198,2020-04-04,Last First Name M.,9630777891,20,NA,2020-04-01,2020-04-09,0,na,99.87993619202783,4,0,1,Not available
199,2020-04-04,Last First Name M.,5415067383,47,Female,2020-04-08,2020-04-04,0,na,97.07549380754001,4,1,1,Not available
200,2020-04-09,Last First Name M.,8446383579,39,Male,2020-04-04,2020-04-03,0,na,107.5111275019264,3,0,1,Not available
201,2020-04-10,Last First Name M.,8533460909,60,Others,2020-04-03,2020-04-04,0,na,98.77555499609747,2,0,1,Not available
202,2020-04-08,Last First Name M.,9410505311,15,Male,2020-04-10,2020-04-06,0,na,98.33404501959522,4,0,1,Not available
203,2020-04-03,Last First Name M.,6258991588,43,Male,2020-04-04,2020-04-09,0,na,103.42911257128226,4,1,0,Not available
204,2020-04-08,Last First Name M.,6772574344,51,Female,2020-04-09,2020-04-06,0,na,101.88481139507965,1,0,0,Not available
205,2020-04-09,Last First Name M.,5983288805,29,NA,2020-04-06,2020-04-09,0,na,100.61980168566171,3,0,0,Not available
206,2020-04-01,Last First Name M.,9379658321,38,Male,2020-04-04,2020-04-04,0,na,97.7366674183063,2,1,1,Not available
207,2020-04-02,Last First Name M.,7216609254,59,Female,2020-04-04,2020-04-10,0,na,97.67641835949856,4,0,0,Not available
208,2020-04-06,Last First Name M.,2179966563,51,NA,2020-04-06,2020-04-07,0,na,100.88098992585579,3,0,1,Not available
209,2020-04-08,Last First Name M.,5178040355,44,Male,2020-04-04,2020-04-09,0,na,97.81516554494264,3,0,1,Not available
210,2020-04-09,Last First Name M.,2700901386,36,Male,2020-04-07,2020-04-06,0,na,101.60174230020729,1,0,0,Not available
211,2020-04-03,Last First Name M.,9947336499,62,Female,2020-04-01,2020-04-06,0,na,95.77614376536121,3,0,1,Not available
212,2020-04-08,Last First Name M.,6957734649,23,NA,2020-04-04,2020-04-06,0,na,102.22153455697227,4,1,0,Not available
213,2020-04-01,Last First Name M.,3683491126,16,Others,2020-04-10,2020-04-08,0,na,99.6468923304124,3,1,0,Not available
214,2020-04-04,Last First Name M.,8843522035,67,Female,2020-04-06,2020-04-10,1,na,96.94680462431967,1,1,0,Not available
215,2020-04-07,Last First Name M.,5827002183,52,Female,2020-04-04,2020-04-01,0,na,103.53674208043621,1,0,1,Not available
216,2020-04-03,Last First Name M.,6413038985,17,Male,2020-04-05,2020-04-03,0,na,102.79992911312516,2,0,1,Not available
217,2020-04-08,Last First Name M.,9537944261,29,Female,2020-04-07,2020-04-02,0,na,102.82913419850419,1,0,0,Not available
218,2020-04-05,Last First Name M.,9513393519,61,Male,2020-04-01,2020-04-05,0,na,98.82479134274337,2,1,1,Not available
219,2020-04-03,Last First Name M.,6250710279,38,Male,2020-04-04,2020-04-03,0,na,97.86962378137036,3,0,1,Not available
220,2020-04-05,Last First Name M.,9070500539,38,NA,2020-04-08,2020-04-07,0,na,102.25291296577872,3,0,1,Not available
